노선번호,지점번호,도명,시/군,읍/면,동/리,구간,이정(km),연장(km),차로수,시간,계,승용차,버스,소형화물,중형화물,대형화물
순천완주선,2706,전북,남원,대산,운교,남원JCT-북남원IC,57.8~61.6,3.8,4,,"25,633","16,303",556,"3,005","4,012","1,757"
순천완주선,2707,전북,임실,오수,오산,북남원IC-오수IC,61.6~75.3,13.7,4,,"26,748","16,943",578,"3,154","4,231","1,842"
순천완주선,2708,전북,임실,성수,봉강,오수IC-임실IC,75.3~85.1,9.8,4,,"30,354","19,246",657,"3,588","4,793","2,070"
순천완주선,2709,전북,임실,관촌,덕천,임실IC-상관IC,85.1~103,17.9,4,,"31,766","20,154",691,"3,766","4,989","2,166"
순천완주선,2710,전북,전주,완산,색장,상관IC-동전주IC,103~112.8,9.8,4,,"27,552","17,362",592,"3,271","4,419","1,908"
순천완주선,2711,전북,완주,용진,상삼,동전주IC-완주JCT,112.8~117.3,4.5,4,,"24,714","15,692",530,"2,910","3,899","1,683"
세종포천선,2901,경기,,중랑,망우,남구리IC-중랑IC,0~5.3,5.3,6,,"64,289","46,454",937,"11,621","4,589",688
세종포천선,2902,경기,남양주,퇴계원,퇴계원,중랑IC-남별내IC,5.3~12.6,7.3,6,,"70,928","51,089","1,039","12,784","5,199",817
세종포천선,2903,경기,남양주,별내,광전,남별내IC-동의정부IC,12.6~19.2,6.6,6,,"70,226","50,682","1,020","12,589","5,143",792
세종포천선,2904,경기,의정부,,산곡,동의정부IC-민락IC,19.2~22.5,3.3,6,,"75,332","54,352","1,093","13,490","5,544",853
세종포천선,2905,경기,의정부,,자일,민락IC-소흘IC,22.5~28.3,5.8,6,,"61,470","44,547",886,"10,805","4,521",711
세종포천선,2906,경기,포천,소흘,무봉,소흘IC-소흘JCT,28.3~30.5,2.2,6,,"56,552","41,082",808,"9,914","4,121",627
세종포천선,2907,경기,포천,소흘,이가팔,소흘JCT-선단IC,30.5~35,4.5,4,,"44,024","31,214",576,"6,518","4,775",941
세종포천선,2908,경기,포천,군내,유교,선단IC-포천IC,35~41,6,4,,"34,945","24,865",453,"5,134","3,755",738
세종포천선,2909,경기,포천,군내,하성북,포천IC-신북IC,41~44.6,3.6,4,,"28,637","20,307",377,"4,238","3,112",603
세종포천선,02906-1,경기,포천,소흘,송우,소흘JCT-옥정IC,0~4.2,4.2,4,,"12,573","8,457",59,"2,969",971,117
세종포천선,02906-2,경기,양주,,회암,옥정IC-양주IC,4.2~6,1.8,4,,"10,330","7,047",48,"2,376",764,95
당진영덕선,03000-1,충남,당진,,사기소,당진JCT-면천IC,0~4,4,4,,"22,287","14,111",296,"2,982","3,522","1,376"
당진영덕선,03000-2,충남,당진,면천,성하,면천IC-고덕IC,4~12.7,8.7,4,,"23,730","14,876",307,"3,192","3,858","1,497"
당진영덕선,03000-3,충남,예산,고덕,대천,고덕IC-예산수덕사IC,12.7~24.4,11.7,4,,"22,209","13,944",288,"2,981","3,601","1,395"
당진영덕선,03000-4,충남,예산,오가,월곡,예산수덕사IC-신양IC,24.4~36.9,12.5,4,,"26,642","16,656",337,"3,587","4,370","1,692"
당진영덕선,03000-5,충남,예산,신양,차동,신양IC-유구IC,36.9~47.4,10.5,4,,"28,259","17,648",357,"3,807","4,640","1,807"
당진영덕선,03000-6,충남,공주,유구,유구,유구IC-마곡사IC,47.4~56.6,9.2,4,,"30,615","19,216",392,"4,104","4,967","1,936"
당진영덕선,03000-7,충남,공주,사곡,신영,마곡사IC-서공주JCT,56.6~60.4,3.8,4,,"31,941","20,191",412,"4,249","5,081","2,008"
당진영덕선,03000-8,충남,공주,우성,상서,서공주JCT-공주JCT,60.4~63,2.6,4,,"50,736","34,465",642,"7,612","5,786","2,231"
당진영덕선,03000-9,충남,공주,우성,신웅,공주JCT-공주IC,63~65.9,2.9,4,,"35,621","25,355",458,"5,632","3,027","1,149"
당진영덕선,03000-10,세종,,장군,송선,공주IC-서세종IC,65.9~72.9,7,4,,"39,746","28,047",500,"6,369","3,507","1,323"
당진영덕선,03000-11,세종,,,한솔,서세종IC-남세종IC,72.9~85.5,12.6,4,,"36,695","25,839",464,"5,890","3,267","1,235"
당진영덕선,03000-12,대전,,유성,안산,남세종IC-유성JCT,85.5~91.6,6.1,4,,"46,190","32,674",592,"7,355","4,057","1,512"
당진영덕선,3001,충북,청주,남이,척산,청주JCT-문의IC,0~8.1,8.1,4,,"40,085","20,411",510,"6,606","9,646","2,912"
당진영덕선,3002,충북,청원,문의,국전,문의IC-회인IC,8.1~18.8,10.7,4,,"46,498","23,768",593,"7,666","11,133","3,338"
