번호,생태통로명,주소,차선_수,관리기관,생태통로유형,설치기관,위도,경도
1057,반딧불이다리,경기도 수원시 영통구 이의동,왕복6차선,경기도 수원시,육교형,경기도로공사,37.294555555555554,127.03566666666667
1058,나비잠자리다리,경기도 수원시 영통구 이의동,왕복8차선,경기도 수원시,육교형,경기도로공사,37.28897222222222,127.0423888888889
1059,소나무다리,경기도 수원시 영통구 이의동,왕복4차선,경기도 수원시,육교형,경기도로공사,37.282694444444445,127.05108333333332
1060,갈참나무다리,경기도 수원시 영통구 이의동,왕복8차선,경기도 수원시,육교형,경기도로공사,37.282555555555554,127.05280555555555
1061,하늘소다리,경기도 수원시 영통구 하동,왕복6차선,경기도 수원시,육교형,경기도로공사,37.29080555555555,127.06344444444444
1062,무지개다리,경기도 수원시 영통구 하동,왕복4차선,경기도 수원시,육교형,경기도로공사,37.28805555555555,127.06644444444444
1063,여담교,경기도 수원시 영통구 이의동,왕복16차선,경기도 수원시,육교형,경기도로공사,37.29661111111111,127.05875
1064,꽃더미다리,경기도 수원시 영통구 하동,하천횡단,경기도 수원시,육교형,경기도로공사,37.28275,127.06902777777778
1065,새터다리,경기도 수원시 영통구 하동,왕복8차선,경기도 수원시,육교형,경기도로공사,37.28208333333333,127.07152777777777
1066,개야생태이동통로,강원도 홍천군 서면 개야리,왕복2차선,강원도 도로관리사업소,육교형,강원도,37.690777777777775,127.63430555555556
1067,,강원도 강릉시 왕산면 왕산리,왕복2차선,강원도 로로관리사업소 강릉지소,육교형,강원도,37.620194444444444,128.77269444444445
1068,댓재 생태통로,강원도 삼척시 하장면 번천리,왕복2차선,강원도 도로관리사업소 태백지소,터널형,강원도,37.38341111111111,129.00935555555554
1069,,강원도 홍천군 북방면 굴지리,왕복2차선,강원도 홍천군,육교형,강원도 홍천군,37.690777777777775,127.63430555555556
1070,원암～천진 개착식터널,강원도 고성군 토성면 원암리,왕복4차선,강원도 고성군,육교형,강원도 고성군,38.21638888888889,128.50444444444443
1071,달거리생태이동통로,강원도 화천군 하남면 서오지리,왕복2차선,강원도 도로관리사업소 북부지소,터널형,강원도 도로관리사업소 북부지소,38.061102777777776,127.64420277777778
1072,,충청북도 청주시 청원구 율량동,하부 왕복 6차선,충청북도 청주시,육교형,충청북도 청주시,36.65293055555556,127.51277777777777
1073,,충청북도 괴산군 사리면 사담리,왕복2차선,충청북도 괴산군,육교형,충청북도,36.82661111111111,127.65994444444445
1074,이곡리,충청북도 괴산군 사리면 이곡리,왕복2차선,충청북도 도로관리사업소,터널형,충청북도,36.779444444444444,127.71472222222222
1075,,충청북도 보은군 마로면 갈전리,왕복2차선,충청북도 보은군,육교형,충청북도,36.37170286547052,127.84237613624569
1076,,충청북도 보은군 탄부면 평각리,1차로,충청북도 보은군,육교형,충청북도,36.460110018417964,127.7587517579364
1077,,충청북도 청원군 강내면 궁현리,왕복2차선,충청북도 청주시,육교형,충청북도 청원군,36.57472222222223,127.3786111111111
1078,,충청북도 청원군 강내면 연정리,왕복2차선,충청북도 청주시,육교형,충청북도 청원군,36.57277777777778,127.38138888888888
1079,,충청북도 청원군 남일면 신송리,왕복2차선,충청북도 청주시,육교형,충청북도,36.57333333333334,127.48555555555555
1080,,충청북도 청원군 남일면 황청리,왕복2차선,충청북도 청주시,육교형,충청북도,36.60166666666667,127.54944444444445
1081,,충청북도 청원군 미원면 운용리,왕복2차선,충청북도 청주시,육교형,충청북도,36.672986042055996,127.66779220369072
1082,성화2 생태교량,충청북도 청주시 서원구 성화동 1076,왕복4차선,충청북도 청주시,육교형,LH공사,36.611608333333336,127.44994166666667
1083,,충청북도 청주시 서원구 성화동 658,왕복4차선,충청북도 청주시,육교형,LH공사,36.61477222222222,127.45666944444444
1084,,충청북도 청주시 서원구 수곡동 214-30,왕복2차선,충청북도 청주시,육교형,충청북도 청주시,36.61425555555556,127.48108888888889
1085,,충청북도 괴산군 괴산읍 동부리,왕복2차선,충청북도 괴산군,육교형,충청북도,36.81455555555555,127.71061111111112
1086,방곡리,충청북도 단양군 대강면 방곡리,왕복2차선,충청북도 단양군,육교형,충청북도,36.80899722222222,128.355075
