번호,생태통로명,주소,차선_수,관리기관,생태통로유형,설치기관,위도,경도
1215,운북_2,전라북도 순창군 구림면 운북리 산59-1,왕복2차선,남원국토관리사무소,터널형,남원국토관리사무소,35.47405555555556,127.04122222222222
1216,운북_3,전라북도 순창군 구림면 운북리 산59-1,왕복2차선,남원국토관리사무소,터널형,남원국토관리사무소,35.474222222222224,127.04077777777778
1217,용담_1,전라북도 남원시 주천면 용담리,왕복4차선,남원국토관리사무소,육교형,남원국토관리사무소,35.41144444444444,127.41683333333334
1218,용담_2,전라북도 남원시 주천면 용담리 ,왕복4차선,남원국토관리사무소,터널형,남원국토관리사무소,35.41891666666666,127.417
1219,방산_1,전라북도 순창군 쌍치면 방산리 484-10,왕복2차선,남원국토관리사무소,터널형,남원국토관리사무소,35.52455555555555,126.94250000000001
1220,방산_2,전라북도 순창군 쌍치면 방산리 484-8,왕복2차선,남원국토관리사무소,터널형,남원국토관리사무소,35.52580555555556,126.94269444444444
1221,화수,전라북도 남원시 운봉읍 화수리,왕복2차선,남원국토관리사무소,터널형,남원국토관리사무소,35.451600999570424,127.55665644011904
1222,상림,전라남도 고흥군 풍양면 상림리 산147-2,왕복4차선,순천국토관리사무소,터널형,국토교통부,34.970647222222226,127.42274444444445
1223,사정,전라남도 고흥군 점암면 사정리 산231-3,왕복4차선,순천국토관리사무소,육교형,국토교통부,34.673072008378234,127.36586218199223
1224,송정,전라남도 구례군 토지면 송정리 590-2,왕복2차선,순천국토관리사무소,터널형,국토교통부,35.19211111111111,127.55663888888888
1225,용두,전라남도 구례군 마산면 용두리 497,왕복2차선,순천국토관리사무소,터널형,국토교통부,35.203269444444445,127.50343611111111
1226,죽정,전라남도 구례군 용방면 죽정리 산24-14,왕복4차선,순천국토관리사무소,육교형,국토교통부,35.27711388888889,127.41643888888889
1227,파도,전라남도 구례군 토지면 파도리 1094,왕복2차선,순천국토관리사무소,터널형,국토교통부,35.19255277777778,127.54139166666667
1228,갑산,전라남도 구례군 마산면 갑산리 828,왕복4차선,순천국토관리사무소,터널형,국토교통부,35.22369166666667,127.46721666666667
1229,대산,전라남도 구례군 광의면 대산리 654-2,왕복4차선,순천국토관리사무소,터널형,국토교통부,35.24068333333334,127.44758055555556
1230,천남,경기도 여주군 대신면 천남리,왕복4차선,서울지방국토관리청,육교형,서울지방국토관리청,37.329525000000004,127.63138888888888
